id,subset_id,gender,age,video1,video2,video3
11b6a985,a_95dede8b,0,2,lnwF-SEHk-M,0fTAxTrBNMA,WQtGE_kh9Gg
11cc4b5e,a_1e62eff3,0,3,wWHq9ZXbA_s,aCsYgadz4xc,VusYvE7FHpY
12639df9,a_3db99689,1,3,On24feTyED8,Alfdi_YzIbc,dyA_eKuwbxc
1336c2ab,a_9d0cedbf,1,2,n6c9pc-GxD4,IevsaST5LOE,W0aqipKBcVY
136aa8e0,a_b6fcd21e,1,2,m8JQH_jq8pU,nZ6wFEguaBI,_5R-3kZtEiA
13b5b6b5,a_f30344df,1,4,B7k5USwI3Gg,KNYG53fAbX4,9-OMBWj4JwU
140ddb9b,a_124b2b81,0,3,TPwXHoMpMuY,XaVPr6HVrbI,Xb_7yNKswlI
14ce5684,b_0f894663,0,3,CUv9C8KrDrM,pvDE_Q5tCuY,sEghJEE_v2w
1513c2b3,a_76cfae4c,0,4,QOUwaZZ2SQg,pnCPDNptFZk,u8uf7nsy5yw
15581b18,a_c9b736f4,0,2,A5AV5HAKjh0,jkrFBvUY4DI,rfzdjGzBCjs
1563d6fb,a_909cd3e3,1,2,gBMTqIipVgA,M_1LTqgf0Zo,GLuIRkDdhCM
15c58dc6,a_a91bcd65,0,4,3U_t44Ktqxk,5aH-vRSZdCE,kdBKBykNbsQ
1625e750,c_fc69c217,0,4,Upw3cYkkWC0,Blqkp-oZMn0,iN2h9N7ZEso
1661bb28,b_d27e5916,1,2,-e-AfielrTA,MTo19e_cupY,1C-Ea_Xkrhg
16f6cc82,b_af86a83b,0,2,DPjr04ALQVs,ZVtuPMyf8Co,sguf2UTrqa8
1732e5a8,a_ff99ef7e,0,3,iS-O2JUuJAM,hhazV0eifFs,UlxJK85q28A
17b4f128,a_07392b8a,0,3,wbXNxs7RKqE,iguz0PLXq7w,_q4jvMUC4u0
189f187c,b_ca5535c4,0,2,rkgLJFevA8U,iFg-bFAu2AU,bBJ-cg_5X4Q
18ef37d0,a_34ba6327,0,3,HtdAN5K4N-Q,SYTWLthn1Gc,imuNm_8Vo_A
1903edb6,a_d7855f4b,1,4,"","",""
197831d0,a_6ab2a6c2,1,1,yM-ctt-0k6w,oIbAnaoBlF8,-x986vGmzx0
19b4a060,a_da8221d9,0,4,Ma7Jp_HPZRk,lsw4DsxHR-k,g4sdXPDW3wU
1a2b229d,c_db214b97,0,2,UUK_CANzGSY,Sk54r9O6DbI,rHbpsNyWKIE
1a38195e,a_af750dcb,1,4,b2loI23h3bo,M2cckDmNLMI,pgXpM4l_MwI
1a396adc,b_ca5535c4,1,1,RONySFoYp_g,4hbP53p3AlY,wf1HQqCF4Do
1accacbd,a_5562c89e,1,4,KJeOJls1dEs,4axSblNDsLc,luW6nUUBtkg
1ae04f26,a_41c9dff6,1,2,hpIb_q1Zd2A,pECZ_6s_59g,RE4RSoZKEUA
1b24b2e5,a_c4387204,0,3,iBcnm5thraE,VV56USt6QcA,8JXIBeDas7w
1b385dd1,a_8ec282f2,0,3,XuSV2oVv6EY,aZg-Tra_-Eg,hLYwms9_U7g
1b59fbb6,a_44e165a9,1,3,V5DhqkHyKXY,ejfHsR8djzQ,atgx0Y5canE
1ba3d30b,a_b6254a32,0,4,zmulq35s1K0,Vxkvh2rB3-Y,Y-WM3ISa7TM
1cb327c6,a_2d846716,1,2,FAT0mneLg_Y,b80b5xkafaE,jmE8ramb0Oc
1cd5d3c0,a_02ac9fef,0,4,0EXKDhYHpZw,BQ8tDVy4erg,AJacMw9hRXA
1cd81a27,a_dbae58e0,0,4,K3kuzaKOUgs,dKngY_BIoWk,I9VV-5OQZMY
1d2c0f7f,a_95dede8b,1,6,yPFQO2FCEZc,2GRTmUpU0ic,GTKoZsu8Srg
1d54fa8c,a_e5c021cb,0,2,bAfWHqhLms4,xA6QoRK5GW0,lbfuCmG88es
1daafe34,a_289e36dd,1,5,kBsonjq4kUk,vbECKyohRKs,eQX5XKgxAEQ
1df31e49,a_34ba6327,0,4,uWZcDKlwpi8,boikMKGLiF4,eCtvuQPEeCg
1e15a5d5,b_42889c2d,1,3,jUVK7V0mYjM,Ta3Tu9RjxJA,eOUtsybozjg
1f22f6a6,a_195fafca,0,3,OiwPMb4908o,0fBVWMezax8,ajyyGn9MexU
1fe7e216,a_964f2afc,1,3,"","",""
204505ac,a_9d0cedbf,0,3,ZPMrxqC9J7o,LpF_QXJeNC8,1MobY_vR7-g
211bd859,a_a91bcd65,0,3,311vwQi3OCI,W4I8BOS45sg,z0KDiXHASfo
21ce1ebf,a_2d846716,1,3,Y32GLrhDcSc,wKsoGzrDuZ0,wKsoGzrDuZ0
21fae2f1,b_c628049f,0,2,kDHVcnykE0Q,VHajfjsIEAU,7hbXA4hubcQ
221ece2f,a_d3f32461,1,2,"","",""
22594e07,a_e5c021cb,1,4,"","",""
22867f49,a_e5c021cb,1,3,plEhksWwboU,q6QYAcF9Uoc,oFLVhD5Pw4o
22c3673b,a_02ac9fef,0,2,MgSlTy_85dY,Y84zYoGv9EI,1N5T1qu0Dd8
22d9c9a7,a_3fe57e9a,1,1,"","",""
2316e6fb,a_124b2b81,1,2,hBifGrCistU,kkXgr5jb5xM,eznHwXWfTV8
2320872c,a_289e36dd,1,2,KdNfe2A5KIY,r0yq_yXFQhg,NhLIT_gujm0
23a30457,a_253650b8,1,3,D02EmQZsJPg,Jyt_kUgiIKw,HIxC0MGxdTM
24064ac2,a_c4387204,0,3,9BSCl-pjcgA,XUDhdsL1Unc,blbZRs1j5eo
241882db,c_95aa7a89,0,1,HHirr3BQ8fw,gffXu0DYs_8,5C6yCxb5BKk
247a4ebf,a_07392b8a,1,4,BsUVXKBhx9s,kA4880OPJ-A,Ke3I4uoO5wI
248c6b5b,a_f30344df,0,3,k70nc1vMvrI,D6ZwK8imMDw,1kxthfvo9xQ
24f605fb,a_3db99689,0,3,foE1mO2yM04,euCqAq6BRa4,YykjpeuMNEk
25eaf492,a_253650b8,1,1,Qlg9BKq-IOA,UFNBgOi6vYs,FZLtoWc7CDM
2648acfd,a_e5c021cb,0,2,TSQRo4bFpao,HgzGwKwLmgM,E0ozmU9cJDg
267d4a94,b_6957fcd5,1,4,J7RVYvb6v-Q,CgPCOJLNePc,QmzTw690LOM
26877d9e,b_ca5535c4,0,3,cQPl_0Dml2g,DTXUOjZ1mcI,x9caYpRFVQM
2689f3c7,a_ef127a78,1,3,"","",""
2692cbe2,a_44e165a9,0,4,UrgpZ0fUixs,8-7FxC-0XWM,qsPpFPE0jgo
2732d3e1,a_cf98c77e,0,3,jzCouI8HLSI,c3WkUYx9os0,PYxWk4x79SY
2766e484,a_4806747f,1,2,KM2QmPcBRV0,ytgfqxwk5fM,xKUFxdsu27o
27f45cd4,a_c4387204,0,3,ElzxWpx0lcI,kvC55N4k9ng,8enkJDhEsS0
281c66d8,c_669d48e4,0,2,uJwa7y6Q6Sw,-BnK_7jGm3Y,910A2kza4k4
28695436,a_4ac99fc8,0,1,cq6ZCwPtI-w,wFUvgRJpQyg,rJE9Suz_m8A
28d0cb3b,a_cc9fb925,1,3,-CxB9dittmE,TRbVB_-36lU,hLvWy2b857I
28d20e59,a_909cd3e3,0,2,mW31hQhTYPE,"",""
28e975a0,a_8ec282f2,0,1,97gYbyzkzGs,sHv1gZ1pwlU,pRsWH2LMxdI
2943dfd3,a_374d5973,0,2,Iy8INKw85CA,ErI-X4y6Ddg,0e2fMqBOjDM
29c91a53,a_964f2afc,1,2,xhBhKBaO-jg,Jc1sucioT_c,QpGYaXiM1gk
29d039ee,a_3fe57e9a,0,3,PaZzwwJi1MY,oWlADy6lGM0,Pdg-Y2i4y8Y
2a7d0a7d,a_4ac99fc8,1,4,nDaqDh2Ds8s,I6p_WZWvCrE,iR3Sdf8UlTs
2a7fc6d4,a_b3d12927,0,3,Z0_gpcaiGyE,51CH3dPaWXc,1WTy2yqKI4w
2a823d15,a_9d0cedbf,1,3,"","",""
2a927836,a_29008b58,0,2,3fRuBgOG65I,u5rkOXzkuBc,XMx0Xqq2c-4
2ac6ff5e,a_ac8bf375,0,2,Vg2IbKmVSmU,jiu5fsf4_UE,PYTAeJmAlh0
2b16b2f6,b_c628049f,1,4,"",KIQS7s7hBnU,""
2b7170fd,b_6957fcd5,0,4,DQiG-4YdHXA,rZpKs3V80yQ,50vBPreCgWY
2b71c522,c_970d2a51,0,3,rywUS-ohqeE,ANxzr5h2FHY,YqEmD89pZFw
2bad2be5,a_253650b8,1,3,4ShrdQb2YfI,Qyzq8bVjiI4,V8Vc2mDcLHo
2bb724c6,a_2d846716,0,4,"","",""
2bc75011,c_db214b97,0,4,"","",""
2bf32730,a_abf44737,0,2,9lkY3x4oU7g,PeZAD18w4TE,H5jKitfp5JM
2c783ba7,a_eada2100,0,3,86No6aq8tn8,Y4mXTna0o7k,tnIASojJogk
2cf30836,a_41c9dff6,1,3,ldpKup5Pwnk,Z7d_3zjEBRQ,RN02nsxpB7w
2d11c77e,a_ca0e48b0,1,2,zzc3jWJ8k1c,yUNv1HM1-xQ,JhzDTifFtL0
2d179897,a_3db99689,0,1,IZbYcV_z1IA,C4nMezVCENM,DEzjr_ZeKp8
2d1cb7be,a_90a6ea35,0,5,iwQtRRXOsNA,5fDrlCzDEok,iMVP-6Ct3UE
2d7a2107,a_abf44737,1,6,Vo-771wlTko,eRjG1nPzSPc,zr7Jj0wk6qo
2d7f70ed,c_90b521bf,0,2,bnLpef9P33g,CTNjLFvaJiA,h9owEUz0LqU
2dbd27c3,a_ca0e48b0,0,3,mqraGzUF0lA,AoXcRygYNPg,Oux_PAJsqFc
2dc2f46f,a_02ac9fef,0,3,sy4k8eoBbJ4,3Egy2T24gTE,etEXtJZPNmw
2df062d4,a_ac8bf375,0,4,KcSBKz59NDQ,NDeJo7YOdUo,0P6klz6BTek
2e165fd9,a_6484f669,0,2,A1nnHu_-ntM,WkCRCCZHhe8,F1C_hXD1HOw
2e56b42c,a_195fafca,1,4,OAxHzVnjlxk,aw8kKqzCcEY,jVTjoiei_Pw
2eb5c76c,a_964f2afc,0,2,4C4evrdpmKo,2lDk-lVq9dY,ZY6iZtbq1Lc
2f0d28cc,a_2d846716,1,3,KWG_G0ZNcro,2OJ8NhUJUMw,qiC_0K1ZTWU
2f22c346,a_02ac9fef,1,4,KSK5E6S7Pjs,OFyH3c2Mfxo,oFLVhD5Pw4o
2f83b098,c_90b521bf,0,4,"","",""
3058741f,c_90b521bf,1,2,F9ofxfG4xYc,z8Kt1gXL_2M,nkoj0g05Z2E
306880d7,a_d3f32461,0,2,nFKsxowM29E,8954iLYfrMc,Fwa-jxRdBSU
3099fa05,c_669d48e4,0,2,"","",""
3131c9ef,a_44e165a9,0,5,o-_8eWHbU5w,o-XcgTQFoPw,zn_PUCooY_4
31ae2045,a_f30344df,0,3,UBUTxx9zYnI,2XDtl1a8Elo,BUP1bkgz2gc
31d66221,a_4806747f,1,2,"","",""
3300c750,a_35a978c4,0,4,nbSqMZfm1XU,LoKRe4CEudA,I5yNvMlJnHk
33711700,b_cc927cf8,1,1,l95x3NEVK5o,1_bDA2H1Ihg,xA5wgymOwvQ
33d62d9b,c_970d2a51,0,1,79XaA_4CYj8,0ZinG1pb9mE,onhBN0qkUcE
33d7d24c,b_f5352884,1,1,bxxbv8bJ2JQ,U_iRhef8G2I,3Q1V_TCr3uk
34001684,a_57d52371,0,3,4sFMRsVZyag,-Axq351c5s4,IIqUltT_x0c
3425538d,a_29008b58,0,5,iilXWjO_7ZM,yrs_zWcdxHE,BqcLpvzKBrI
34429d73,a_ff99ef7e,0,3,a51VH9BYzZA,lYJQegOFPGo,YlJtlCrlgTk
34d9eca1,a_5562c89e,1,5,TfZkuOqqwSI,4TaLpXRgn4k,arXkniPR8l4
34e47ca1,a_964f2afc,1,3,sBYRVPMC6C8,2PxGFl5oq28,6-3gTpjkZzw
360f1fb5,c_bc149f42,0,2,kMcO68IwALM,cVZgyV1_p4M,wVa9hI6ySzE
368dcb7b,a_f30344df,0,3,W8DCWI_Gc9c,2KX-nAwQTGQ,fUwy87Sabxs
3766e5c9,a_02ac9fef,1,4,KH7zEN0ch-Q,IRDoeQZ12-Y,aFfWuANYqmk
378b3dec,a_a310c11e,1,4,CgUUwzHt5S0,e1VC2lgTWes,DpANRK3AldY
378c9866,a_1e62eff3,0,3,YL9v1pcb8mI,a1Ay-fj3bms,tQYGDRaqzq8
37e65375,b_af86a83b,0,5,3_gYAnOvvYk,l2uorV99pZc,""
38326915,c_669d48e4,1,2,sF4Wr6jGXso,xT7aYejzG7g,K4IccYMpjIs
3871b1e9,a_ef127a78,0,3,dIOxx9RLSo4,c6nk1fsx3SQ,SG2dokSef9E
389a21e9,a_2d846716,1,1,0_IixXT563k,MPIUQy061Xw,HP6HZLfns9c
38f2092e,b_d27e5916,0,3,bVTT-51kf5E,BGKShPg9mzo,o6ARRGrW3BA
3917657c,b_f5352884,1,3,LE2_BeKcG4E,zuoVd2QNxJo,hzTRXNjvDck
3942cfb8,a_289e36dd,0,3,xNpN7HaAq58,fIWQ1wWulcA,DBnMD-rm0es
396b4986,a_07392b8a,2,6,pRXqDn14v-g,4004rp1bY0I,6AO_a9H5gTY
396d2b31,a_964f2afc,0,5,HaFIF2H4rSw,TDTZKLU1euw,s0HmZNd0aoc
39b28b1f,c_90b521bf,0,2,Va28MdO0TJQ,yfEmBi2CDFs,r2FQFYT4eRw
3a16ad0e,a_abf44737,1,2,Ge6clVGQMs8,tx6T6YUCXgQ,m7i0iz4HvLo
3a60db07,a_b3d12927,0,2,8hch3VArIVg,JTAnRkLMv7U,BpXzGE7e9RQ
3a735458,c_669d48e4,0,3,qABe04mtNOc,UuLiGhpqUNs,4xJuGqBIhFs
3a7e29ae,a_374d5973,0,4,ZMhz4qXrY-0,O6EhJyoYhOE,fCMffw4qq4k
3ac3052f,c_95aa7a89,0,3,6KN1Uk2V1NI,KVlYKdAgh_c,h4_aBWkDQC4
3b5063c7,a_1e62eff3,0,3,KizsyU4SMfA,jLshSW8MeZE,t0frirPBfPM
3b7a6ce1,b_c628049f,0,2,y41AUYWfG0A,fO6JebRGQfg,IEkLSfs1F68
3b9453b5,b_42889c2d,0,2,SmiTn19HA-c,SWuQg7TOOhk,6VaONG8EtOU
3bb8b6bd,b_6957fcd5,0,1,NYZYW2RoOD8,xLAf86thEXQ,gxNL9RU87zU
3d03f925,a_cf98c77e,1,3,AXMEe8bYYdg,a9iJ_kE_okY,EihK14OuD10
3dbad0fb,a_a310c11e,0,3,DqMi6yBTQj8,h_X4s6_IiII,g5UGhcoF81s
3e1c2180,a_338f94b8,0,3,jhniCZ2S668,4G7SbTYnJVE,XhwHct2DDss
3eceff37,a_a310c11e,1,1,pMqtHxDTFe8,_2z-sxziiEI,IHkv9I7R1TY
3edfb389,a_76cfae4c,1,3,kA4880OPJ-A,wi79TsIH46o,PoM8GqWA3Qs
3ee06b32,a_4ac99fc8,0,1,pRIHkEbDrfs,H8KW-n8DYRg,2W4gxy-54q0
3f171f65,a_35a978c4,1,3,wSRIMhb7fLg,QniAIJVc0TI,7VepSNBUuOU
3f212c3c,a_27b1998c,1,3,tF7suGQj8bE,hYVov9hpdoY,m3IIuY3st34
3f962a6e,a_6484f669,0,1,TH2Qr27AaPA,g_k3mx_fHFY,MtvUCQ2ofUw
3fcbb6ff,b_af86a83b,0,3,Ow3t-e-TVeo,CnboXLRnVNo,u9xCvQKRWN0
3fd72f5b,a_eada2100,1,3,KbOAnJ22f-4,33EUTZ5JpYU,nWvXHZj4lm0
402855de,a_253650b8,0,1,2U6Dczl0rdQ,et64z0bA1GQ,IXgX_r-x-XE
4031cc23,a_374d5973,0,4,zrjxAhseJ3A,gMfgFGD9mS0,zrybIYU_JWo
404ca18d,a_3a735b61,0,5,"","",""
407c98e8,a_d3f32461,0,3,AhqO8xwU-Ew,TGWpjpu8xQM,MBAwMJwtAAU
40c320d8,a_124b2b81,1,4,"",T_PHEJkXSoo,""
41104275,a_e5c021cb,0,3,uEX8us6Wy8w,rev-L6mm8qs,UZ8sviwM7kI
4114f1cb,a_3db99689,0,3,vZ8gteMsQGc,U80s-B_jNZU,k5DK_jDofh0
412e44dc,a_90a6ea35,1,3,3xyYTVzMdkU,wtICHCdsb4g,055I47EG5ko
416020d3,a_8064bf1a,0,3,XBHisKLIIOw,dPX0_IEXVRo,AAr2lHZLNyU
41b1d54d,a_909cd3e3,0,3,GzTAi3JQ3RM,5gZsGSw-E9c,rKymMIFzth8
41b36385,c_fc69c217,0,2,"","",""
41f819ff,a_253650b8,1,1,fKdfb2d9hio,EnS-y9XdUEg,16_SUESqk8g
4275f0c2,a_02ac9fef,0,3,LyypunOaerY,-TqKA_WSatk,HMO8dQgQIuI
42c2c611,a_1e62eff3,0,3,"","",""
43107542,a_c9b736f4,0,3,DUfvlcgVhKw,-tU1M7yi9Sg,NGupDnOFLG8
4343f001,b_ca5535c4,1,5,vlo0V67iwN0,kqzL5e_3z7c,66ZyeEUynqU
439d1e46,c_fc69c217,1,3,ZzC4HD5BytY,4nhtIHCTjxE,RzrE4sgRGpI
445f85c4,a_41c9dff6,0,3,5EC4BynJ1MA,f3nxvru21U4,MEMbry3cYsU
448bd162,b_d27e5916,0,2,vTGggUdcscE,71AoxvReWYI,HlQkksP4Tb8
44c36033,a_ca0e48b0,0,5,fJ9rUzIMcZQ,kP4oluZmjzA,NCtzkaL2t_Y
44f2f998,a_6ab2a6c2,0,3,Za9BWNQaJYI,JuWv8SbWb5Q,xaza78a8RdY
450d895b,a_57d52371,1,1,e8HRTlkGD4Q,T3NRhx7XITY,7-vz6JvkMbg
458df711,a_338f94b8,1,1,HHa2gJeU3m4,8Id3KtTqGRA,yPZ6vngCRts
462414a5,a_2d846716,1,2,sD1irjGnnbY,_6SRxOTpZc8,SsNs6fdrxFI
463623ad,a_124b2b81,0,5,ioL0A_DVXjY,dsyF2s-YnP4,x9Oc82Mu5Eo
471c7866,a_964f2afc,0,1,B3LdMKVGXBY,Fwca-kKVFKY,Pkvd7hU2N3w
4734f49d,a_da8221d9,0,0,r-4XumkB2Yg,URABwFBT8Ok,WCHtpnZdGA4
47c7c465,b_d27e5916,1,3,"","",""
488ce7db,c_bc149f42,0,5,A_EGFupG5Jw,afnPGDVn4n4,Y3CXdnnAXLQ
4893b47d,a_07392b8a,0,3,6yLR0RNH7M4,L1NaSz18DQY,svsAhn7PdHU
4a57f7c0,a_cc9fb925,1,5,"","",""
4aaaa8da,b_979b5e79,1,4,_Qgy_V0CS6A,iL3LjxeRpX4,PKxWiRWhh-g
4b3dd78d,a_d3f32461,0,4,aTOUGm7vzSc,jfKfPfyJRdk,kEBGl-ZxGq0
4b9e175c,c_970d2a51,0,2,uuPQd0qRZro,mUfK3iu7-N4,Rx-xTpxeOUQ
4bac00f5,a_ef127a78,0,3,g7C46IESXKA,2xXlS9pQSo8,XMx0Xqq2c-4
4bddc83c,a_af750dcb,1,4,GPdLEKzHd1g,EW4iydAQCUo,xy8Y6c6uUl0
4c1ff5c3,b_f5352884,0,2,rt8OiNkaiwo,QYyBt1KI5cM,meMdPK6JrGQ
4c45da6e,a_909cd3e3,1,1,SGJwRyipB1I,Ac2e5cTldgY,m5OccWiXjO4
4c461f02,a_badae39d,1,3,yyrBu9beO5o,wj_sOt9wFWc,NU8msYPxVwM
4c79947c,c_a062a225,1,3,E4OCXwoS67o,mKy3KgjZfF4,vht737B8bpI
4cbc177f,c_669d48e4,0,3,ptiD6mxhZ3o,3u_t_cm7hXc,fR-cWCrbFTk
4dedadcd,b_c628049f,0,3,"","",""
4e0f34ba,a_6ab2a6c2,1,5,GR0GYNdDF7E,sBYRVPMC6C8,SfPkl7lol7g
4e25085f,a_44e165a9,0,3,PthYlwijeRc,u615TRroFtA,jB-LKJ5uyCI
4e34b287,a_3d1de17d,0,3,f3AVmU0eu3A,MQ5N05ky6aE,uSA2BKakOvA
4eeb7c33,a_35a978c4,0,3,"","",""
4f51e9be,a_8ec282f2,0,4,k1WqYDq4EnM,b-qfyAoew78,gDsAb4PErTk
4f63d16e,a_7b29e23f,0,5,_E9h_qgF5Tg,fRMOLlIwIFo,Kv0zfxzhSF0
4fd42938,c_a062a225,1,2,WTDzP8-B0eo,Kqz3Spe7ULI,L1NaSz18DQY
50254edf,a_289e36dd,1,2,MQvxXVAI4BY,HBVEzpBT64o,cBGAA0MW24g
5049c291,a_eada2100,0,3,7dUfaCD5Y0A,0melyLHqP-s,j57Pas4wx-8
50534439,c_7f59f421,0,1,Q6Yh9L6IpVU,0D2YD93TNaE,3znwdNh9fv0
50bcfb5d,a_3a735b61,1,4,VJXVjj8L4Go,2PoVOuoeHao,9VLRyyws9KE
50fb0ca4,b_979b5e79,0,5,3IJbE1lb08I,tCoRT-mGp8E,rjepkksA6NM
516ea3a0,a_da8221d9,0,3,fxDDMR9StQ4,iR13XzN2tYg,NvjtirSMUng
52d33db7,a_3d1de17d,0,3,"","",""
52e06f08,c_970d2a51,1,2,sMTbJUHAckg,405HeZ-pRHU,4eJM5oHXuvI
53ac5547,a_253650b8,0,3,-50XWu5_bbc,GVNuE4K6NBE,-6QwxY4wuvk
53b6aba2,a_195fafca,1,4,PJKGDtmmwhU,WEzVDpzNr6Y,dJn99MGu3MY
5430d421,a_e5c021cb,1,2,0Kx3sobEBFE,j65_xyAlkns,mSco0oUym9I
54f3dd4e,a_d93f639c,1,5,iYiYtYtPZDk,DHuaH73rHIs,_oIKv3z8N0s
55267583,a_abf44737,0,3,ED1rYcoeS-8,8xzVXcLUqVA,lJEx1IbozfM
553e7d23,c_669d48e4,1,4,FqmYc62HUec,KVT0S0j7F9Y,o-2M8m8ohr0
55993d62,a_29008b58,0,1,Dy1c7GKAbBI,ireRUtf3APk,z7DqxHzyb4w
55a76a6e,c_90b521bf,0,1,6g1Pm-slTPE,tR2oqBzMwcE,Nwxodk2U5lE
56206b80,a_909cd3e3,1,4,U6gQKJNlewI,CZqcSA1rVW8,NPGU__NcCAs
57dbe8c1,a_374d5973,1,3,hidf4QVn2BY,p8MxBwuY-kY,SfPkl7lol7g
582a08d0,a_ff99ef7e,0,3,wRKnp2Y5AWI,HHqYfD917ls,g-iCMNw1qVo
58e20b8c,b_cc927cf8,1,3,"","",""
598be29c,a_7b29e23f,1,3,"","",""
