id,characteristics_prompt_1,annotator_1,characteristics_prompt_2,annotator_2,characteristics_prompt_3,annotator_3,characteristics_prompt_4,annotator_4,characteristics_prompt_5,annotator_5
0066,若い女性が、小説のあらすじを説明するかのように、ゆっくりと丁寧に話をしている。,monteverdi9855,,,,,,,,
0067,30代くらいの女性がゆったりとした口調で話している。,haydn3911,,,,,,,,
0068,若い女性がはきはきした声で事実を淡々としゃべっている。,bruchner9218,,,,,,,,
0069,若い女性が、落ち着いた声で、説明するような口ぶりで喋っている。,sibelius8792,,,,,,,,
0071,若い女性で、低音の落ち着いた感じ声で、状況を伝えている。,monteverdi3092,,,,,,,,
0072,30代くらいの女性が落ち着いた口調でナレーションしている。,bach5211,,,,,,,,
0073,女性のしっかりした声で丁寧に説明するような喋り方。,haydn1359,,,,,,,,
0074,20代くらいの女性の声でした。少し低めでねっとりしたしゃべり方をしていました。,debussy4181,,,,,,,,
0075,比較的若い女性が冷静かつ丁寧な説明口調で話している。,ravel6508,,,,,,,,
0076,若い女性が淡々とした声で体験談を語るように喋っている。,chopin2355,,,,,,,,
0077,若い女性が、ゆっくりと丁寧にわかりやすい口調で喋っている。,elger3773,,,,,,,,
0078,10代から20代の女性、落ち着いた話し方だけど、幼い印象がある声。,mozart2863,,,,,,,,
0079,若めの女性のトーンを落とした声、抑揚は落とし気味で、軽く警告するかのように喋っている。,vivaldi2440,,,,,,,,
0080,30代ぐらいの女性の声で、普通のトーンですが、ゆっくりとはっきりとした喋り方です。,handel9658,,,,,,,,
0081,20代後半の女性が、少し低めの声で、真剣な喋り方をしている。,badarzewska5055,,,,,,,,
0082,若い女性がかすれた声で語り掛けるように話している。,brahms5639,,,,,,,,
0083,30代位の女性が、アナウンサーのような澄んだ声でセリフを読み上げている。,puccini0890,,,,,,,,
0084,30代の女性が少し掠れた声で囁くように話している。,bizet8820,,,,,,,,
0085,20～30歳代の女性が、感情を込めずに淡々とはきはきと文章を読んでいるように話しています。,mendelsohn3572,,,,,,,,
0086,女性の語り部が、落ち着いた声で、事実を淡々と語っている。,saint-saens4971,,,,,,,,
0087,４０代男性がしっかりした口調で何かの説明文を読んでいる。,mozart5196,,,,,,,,
0088,20代の女性が嬉しそうな声でねっとりと話している。,paganini1748,,,,,,,,
0089,20から30くらいの女性が、女性の平均値くらいの高さの声で、ゆっくり色気を出そうとした喋り方。,elger7925,,,,,,,,
0090,10代後半の女性が少し紅葉しながら相手に共感を求めている。,elger9149,,,,,,,,
0092,中年の男性が、少し早口で興奮して喋っている。,elger3773,,,,,,,,
0093,中年男性がボソボソとした声で計画を練るように呟いている。,badarzewska6473,,,,,,,,
0094,50代くらいの男性がかすれて声で抑揚をつけながら話している。,schumann6366,,,,,,,,
0095,30代の男性が、がらがらした声で、高いテンションで楽しそうに喋っている。,badarzewska7662,,,,,,,,
0096,40代より上、男らしさと明るさを兼ねた声色の男性が、低いつぶやき声で、皮肉っぽくひとりごとをしゃべっている。,sibelius9498,,,,,,,,
0097,中年の怖い男性が、はきはきした声で、挑発するように喋っている。,wagner8651,,,,,,,,
0098,30代男性が、絞り出すような声で、怒りながら喋っている。,puccini2441,,,,,,,,
0099,60代くらいの男性が、ゆっくり怒りながら喋っている。,beethoven7876,,,,,,,,
0100,20代ぐらいの女性が、気怠い口調で、甘やかすように喋っています。,bach6393,,,,,,,,
0101,一緒に寝る人に対して気を遣い、相手に安心させようとする声。,verdi8774,,,,,,,,
0102,30代の女性が、低い声で、ゆっくりとしたテンポで喋っている。,puccini6744,,,,,,,,
0114,10代の男性が元気な声で聞き取りやすいように話をしている。,verdi8193,,,,,,,,
0115,若い男性が高い声でゆっくり独り言のように喋っています。,mozart6648,,,,,,,,
0120,若い男性が、はきはきした元気な声で、司会のようなことをしている。,monteverdi2902,,,,,,,,
0121,若い男性が高めの声で元気よくしゃべっている。,handel2193,,,,,,,,
0122,男性が高い声で少し訛った早口で喋っている。,bruchner4287,,,,,,,,
0123,若い女性が、高い声で、少し興奮して怖がっている感じ話している。,puccini5500,,,,,,,,
0124,若い男性が、はきはきした声で、本を読むように喋っている。,chopin8030,,,,,,,,
0125,20代の男性が、すこしだるそうな声で、ゆっくり目に喋っている。,ravel3624,,,,,,,,
0126,20代後半から30代の男性が、明るめの声で落ち着いた口調で話していた。,badarzewska9358,,,,,,,,
0127,童話を読み上げているかのような優しく丁寧な口調だと感じた。,bizet5324,,,,,,,,
0128,20代から30代の男性が低い声でゆっくり語り掛けている。,chopin3729,,,,,,,,
0129,40歳くらいの男性アナウンサーがニュースを読んでいるような聞き取りやすい声。,saint-saens2177,,,,,,,,
0130,やや若い男性が、高くも低くもない声で、優しい口調で話している。,tchaikovsky1731,,,,,,,,
0131,とてもりんとした雰囲気の男の声が聞こえてきた。,vivaldi8335,,,,,,,,
0132,30代の男性が鼻声で少したどたどしい感じで喋っている。,badarzewska1538,,,,,,,,
0133,男性、低い声。ゆっくりとはっきりと、喋っている。,saint-saens0730,,,,,,,,
0134,比較的若い男性が、はきはきした声で、淡々と喋っている。,monteverdi2320,,,,,,,,
0135,20代ぐらいの男性が、おっとりとした声で、ゆっくりと喋っている。,dvorak2098,,,,,,,,
0136,20歳代男性が押し殺したような低い声で話している。,schumann2777,,,,,,,,
0137,中年の暗い男性が、ゆっくり誰かに語り掛けるように喋っている。,bizet6993,,,,,,,,
0138,若い男性が低い声でゆったりと語るような感じで。,schumann0854,,,,,,,,
0139,20代くらいの男性が癒しのある落ち着いた声でゆっくりと話している。,shostakovich6875,,,,,,,,
0140,若い男性が、落ち着いた声で、本を読むようにとうとうと語っている。,rossini6436,,,,,,,,
0141,成人男性が、ゆっくりとした、聞き取りやすいテンポで喋っている。,rachmaninov6780,,,,,,,,
0142,30代くらいの男性が、低い声優さんのような声で、朗読をするように喋っている。,schubert9911,,,,,,,,
0143,中年の男性が少し低めでクセのある声で、ゆっくりと喋っているが、「色々な物がちゃ」という所で音声が途切れてしまっている。,wagner1081,,,,,,,,
0144,20代から30代の男性が、老人を真似してわざとざらつかせた若い声で、お話の役を演じるように話している。,rossini3286,,,,,,,,
0145,中年の男性が、低い声で、抑揚のない喋り方をしている。,shostakovich1640,,,,,,,,
0146,若い男性が低い声で優しい話し方をしている。,paganini1355,,,,,,,,
0147,若い男性がこもった声でゆっくりと話している。,badarzewska6328,10代の若い男性が、活舌悪く何かを音読している。,elger1279,若い男性が、低い声で、弱々しく喋っている。,tchaikovsky2047,,,,
0148,男の人の声で何かを諭すようなしゃべり方でした。,brahms9307,,,,,,,,
0149,若い男性がもったりとした寒い地方の口の開き方でゆっくり話していた。,schubert7808,,,,,,,,
0150,20代後半の男性がかなりゆっくりめの口調で喋っている。,handel8971,,,,,,,,
0151,中年の男性が低い声でがっかりしたような感じで話している。,sibelius8476,,,,,,,,
0152,30代くらいの男性の声、物語を読み聞かせている話しかた、少しねっとりとした印象のある鼻に掛かった声と話しかた。,strauss3428,,,,,,,,
0153,20代の男性が低めの声で物語を棒読みで読んでいる。,mahler5905,,,,,,,,
0154,壮年の男性が、低い声で、女性のような口調でゆっくり喋っている。,schubert1343,,,,,,,,
0155,若い男性が落ち着いているがはっきりした声で話している。,liszt5697,,,,,,,,
0156,30代くらいの若めの男性が、やや低めな声で、ややゆっくりと静かに語りかけるように喋っている。,mahler8721,30歳くらいの男性が、低いゆっくりとした口調で丁寧に話している。,saint-saens2309,,,,,,
0157,20代くらいの男性が、童話『白雪姫』の鏡に話しかけるような朗読するように話している。,elger7072,若い男性が暗い声で呟くように話している。,paganini0062,,,,,,
0158,多分男性だと思うが、中性的な声色。30代ぐらいで落ち着いている。,rossini6692,,,,,,,,
0159,30代の男性が低い声で怒気を含んだ感じで喋っている。,vivaldi8730,,,,,,,,
0160,40代男性が、落ち着いた声で、演じるように喋っている。,verdi6880,,,,,,,,
0161,若い男性が物語の一幕を、ゆっくりゆったりと喋っている。,vivaldi2420,,,,,,,,
0162,若い男性が、機械音のような少し高い声で、ゆっくり喋っている。,elger1917,,,,,,,,
0163,30代くらいの男性が、ゆっくりと言葉をためながら諭すように話している。,bruchner5215,,,,,,,,
0164,若い男性が淡々と抑揚もなく、ゆっくりと話している。,haydn7435,,,,,,,,
0165,30代の男性がぼそぼそとゆっくりと話している。,bizet4889,,,,,,,,
0166,20代の男性が何かを諦めたかのように、情けなさそうに喋っている。,schubert9827,,,,,,,,
0167,若い男性が低音でゆっくり優しく話している。,monteverdi3509,,,,,,,,
0168,男性が性能の良くない機材で、外部で実況中継をしている。,badarzewska1209,,,,,,,,
0169,中年のきちんとした男性が、落ち着いた声で、優しく丁寧に教えるように喋っている。,rachmaninov9590,,,,,,,,
0170,中年男性が、自分の意思を相手に伝えている。,brahms9590,,,,,,,,
0171,中っ政敵の見える中肉中背のおじさんで、やわらかく諭すような声。,paganini5884,,,,,,,,
0172,少し鼻声の若い男性が、語りかけるように喋っている。,haydn3036,,,,,,,,
0173,若い男性が少し鼻に掛かった声でしゃべっている。,beethoven7666,,,,,,,,
0174,若い明るい男性が、はきはきした声で、語りかけるように喋っている。,brahms0012,,,,,,,,
0175,若い男性が落ち着いた声で読み聞かせをするかのようにゆっくりと合間を挟みながら話している。,ravel2079,,,,,,,,
0176,若い男性が優しそうな声で、のんびりとした喋り方をしている。,rossini3112,,,,,,,,
0177,若い男性が低い声で、悲しげに喋っていると思います。,puccini4935,,,,,,,,
0178,若い男性がやや高い声でゆっくりと物語を読み聞かせている。,schumann4758,,,,,,,,
0179,若い男性がはきはきした声で本を読むかのように話している。,bach8815,,,,,,,,
0180,若い男性が、低い声で、演劇の台詞を読み上げるように喋っている。,saint-saens5868,,,,,,,,
0181,中年の真面目な男性が、はっきりとした口調で、言い聞かせているように喋っている。,rossini6327,,,,,,,,
0182,若い男性が暗い声でゆっくりしたペースで喋っている。,grieg8093,,,,,,,,
0183,３０代位の男性がゆっくりとした口調で語りかけている。,mozart4865,,,,,,,,
0184,男性が優しそうにゆったりと物語を読みかせている様に喋っている。,verdi6534,,,,,,,,
0185,三十代くらいの男性が落ち着いた声で安心させるように話している。,sibelius3455,,,,,,,,
0186,青年が自身なさげに、何かを朗読するように話している。,mendelsohn6606,,,,,,,,
0187,30代くらいの落ち着いた男性が、静かな声で、優しく語り掛けるように喋っている。,mozart6171,,,,,,,,
0188,20歳代くらいの男性が、低い声で、鼻にかけるように喋っている。,tchaikovsky1057,,,,,,,,
0189,少し鼻の詰まった様な低い声で注意事項を読みあげている。,dvorak2114,,,,,,,,
0190,30代の男性が低い声でゆっくりとわざと間を開けて喋っている。,badarzewska7074,,,,,,,,
0191,20代から30代の男性が低い声で何かを説明している。,chopin3729,,,,,,,,
0192,低めでゆっくりとした壮年相当の男性の声にて、落ち着きを促すかのように喋っている。,vivaldi2440,,,,,,,,
0193,若い男性が、落ち着いた声で、淡々とした口調で指示をしている。,verdi6449,,,,,,,,
0194,優しそうな男性が甘い声で、ゆっくりと話している。,monteverdi1379,,,,,,,,
0195,中年の男性が、ナレーションのように落ち着いたトーンでしゃべっている。,puccini1388,,,,,,,,
0196,30代男性が、はっきりした声で、普通よゆっくり喋っている。,debussy1151,,,,,,,,
0197,成人男性の細く柔らかい声でしっかり言い聞かせるような喋り方。,haydn1359,,,,,,,,
0198,20代ぐらいの男性の声で、少し低いトーンの声で、ゆっくりとした喋り方で何かを始めるようです。,ravel8663,,,,,,,,
0199,若い男性が低い声でゆっくり暗示をかけるように話している。,liszt8856,,,,,,,,
0200,中年の男性がゆっくりとした口調で穏やかに話しかけています。,badarzewska1696,,,,,,,,
0201,若い男性が穏やかなトーンでゆったりと話している。,paganini4090,,,,,,,,
0202,穏やかな男性の声が、丁寧な口調で相手に指示を行っている。,mahler1054,,,,,,,,
0203,若い男性が、かなり低い声でゆっくりとささやく様に、教え導くように話している。,mendelsohn3572,,,,,,,,
0204,成人男性が、病院で患者さんにゆっくりと説明するように、丁寧な口調で喋っている。,rachmaninov6780,,,,,,,,
0205,30代くらいの男性が、優しくおっとりとした声で、ゆっくり話している。,beethoven4053,,,,,,,,
0206,男の指導者が、ゆっくりと、運動のやり方を丁寧な口調でしゃべっている。,saint-saens4971,,,,,,,,
0207,20代ぐらいの男性が、ゆっくりささやくように、優しく喋っている。,dvorak5832,,,,,,,,
0208,20代位の男性が、低いトーンで劇中のナレーションを読み上げている。,puccini0890,,,,,,,,
0209,30代の男性が落ち着いた声で、当時の状況を説明している。,schubert2624,,,,,,,,
0210,若い男性が少し低い声でゆっくりと語りかけるように喋っている。,dvorak0253,,,,,,,,
0211,穏やかそうな若い男性が、とてもゆっくりとした優しい声で静かに語りかけている。,mahler8143,,,,,,,,
0212,30代くらいの男性が、落ち着いて、ゆっくりとした口調で、気持ちよさそうに喋っている。,vivaldi4325,,,,,,,,
0213,20代後半から30代の男性の声が。低くおっとりとした口調で説明している。,wagner0071,,,,,,,,
0214,細く穏やかな男性の声で、朴訥といった感じに喋ている。,bach3864,,,,,,,,
0215,20代くらいの鼻声の男性が、ゆっくりとした朗読するような口調で喋っている。,debussy2757,,,,,,,,
0216,中年の男性が低く重い声でゆっくりと語り掛けるように話している。,mahler1404,,,,,,,,
0217,20代くらいの男性が、穏やかな低い声で、ゆっくりかつ文節ごとに喋っている。,rossini5372,,,,,,,,
0218,若い青年の声が、落ち着いた声で、語りかけるように喋っている。,chopin5215,,,,,,,,
0219,若い男性のように聞こえるが、機械で作られたように感じる。発声に違和感を感じる部分がある。,sibelius2210,,,,,,,,
0220,やや若い男性が非常に落ち着いた口調で指示するように喋っている。,chopin8316,,,,,,,,
0221,男性の声でゆっくりとした話し方で優しい感じでした。,verdi6021,,,,,,,,
0222,60代男性、分かり易くゆっくりした口調で相手を諭すように話しかけています。,bach8066,,,,,,,,
0223,中年男性が、低い声で、ゆっくり丁寧に喋っている。,handel9267,,,,,,,,
0224,若くとても明るい女性が、凄くはきはきした声で、聞いている人たちに分かりやすく確認するように喋っている。,dvorak0226,,,,,,,,
0225,10代後半の若い女性が、ささやくような声でゆっくりと喋っている。,beethoven4967,,,,,,,,
0242,若い女性が、響きのある声で、はきはきと喋っている。,haydn4494,,,,,,,,
0243,若い女性が声を張り上げるように説明文を棒読みしている。,mahler1339,,,,,,,,
0244,若い女性が、はきはきした声で、自慢するような喋り方をしている。,bruchner8760,,,,,,,,
0245,20代の男性が、声を張り上げて、少し怒ったような感じで喋っている。,liszt9268,,,,,,,,
0247,声変わり前の少年が、やや高い声で、ぼやくように喋っている。,wagner7420,,,,,,,,
0248,40代くらいの、少しアニメ声の女性が、少し怒りながら諭すように喋っている。,rachmaninov3617,,,,,,,,
0249,女性が、相手に対して少し困った感じで説得する様な若干高めのトーンで話しかけている。,schumann0679,,,,,,,,
0250,甘めの女性の声で、誰かに頼まれたような相手を説得させるような話し方。,debussy9426,,,,,,,,
0251,20代くらいの女性がアニメの母親役のような声で明るく頼むように話している。,badarzewska7654,20代くらいの女性が、はきはきした高い声で、元気に喋っている。,monteverdi0410,,,,,,
0253,若い女性がはきはきとした声で驚いたような口調で喋っている。,saint-saens4837,,,,,,,,
0254,若い女性が幼い少年のような声で、希望に満ちた喋り方をしている。,bizet6872,10～20代の女性が、アニメの声優さんのようなはきはきした声で、明るく話をしている。,bizet7762,,,,,,
0255,若い女の人が感情を込めて何かを訴えるように話している。,beethoven9507,20代の女性が、抑揚をつけてはきはきと喋っている。,haydn7147,,,,,,
0256,若い女性が少し急ぐようなリズムで話している。,bach8042,若くて明るい少年が、はっきりとした声で、問いかけるように喋っている。,saint-saens8273,,,,,,
0258,若い女性が少し様子を伺いながら、こちらのことを心配して語り掛けている。,shostakovich0800,,,,,,,,
0259,若い女性が、高い声で、いひょうをつかれた受け答えをしている。,bizet3688,,,,,,,,
0260,少年のような声で、セリフを言うように喋っている。,bruchner1820,,,,,,,,
0261,若い女性が、少し困ったような口調で話している。,chopin2425,,,,,,,,
0262,元気で明るく感情をそのまま言葉にしている話し方。,debussy0892,,,,,,,,
0263,若い女性が、子供を真似るような声で、友達に自慢げに話す感じで喋っている。,bruchner8758,明るく若い女性がハキハキと高い声で、勢いよく話している。,verdi2492,,,,,,
0264,若い女性が大きな声であせったように話している。,bach5073,,,,,,,,
0265,５０代位の男性が威勢のいい声で話している。,sibelius8112,,,,,,,,
0266,若い男性が、甲高いしゃがれた声で、気持ちを込めるように話している。,wagner3277,,,,,,,,
0268,10代くらいの女性が、はきはきした声で、早口で話している。,grieg7193,,,,,,,,
0269,若い女性がアニメのような声で非常に早口で話をしている。,strauss9438,,,,,,,,
0270,高めのアニメ声の女性が、少しコミカルな様子でてきぱきと早口で話しかけている。,liszt4517,,,,,,,,
0271,10代の女性がはきはきとした声で戸惑ったようすで話している。,monteverdi5706,,,,,,,,
0272,若い女性がはきはきした調子で台詞を喋っている。,bach1081,,,,,,,,
0273,少年のような声の女性が、はきはきとした話し方で、驚いたように喋っている。,debussy3111,少年が大きな声ではきはきと、問い詰めるように話しをしている。,paganini4188,,,,,,
0274,20代の女性が高い声で早口でまくし立てるように喋っている。,badarzewska7074,,,,,,,,
0275,若い女性が、はきはきと楽しそうな声で喋っている。,shostakovich4040,,,,,,,,
0277,やや甲高い声で聞き取りにくい声だが聞き取れないことはない喋り方。,rachmaninov5676,,,,,,,,
0278,10代の女性の声でゆっくりめに抑揚をつけてはっきりと喋っている。,beethoven7434,,,,,,,,
0281,若い女性がはっきりとした声で訴えかけるように喋っている。,haydn1093,,,,,,,,
0282,20代ぐらいの男性で、まぁまぁはっきりした口調です。大人しそうな感じですが頑張って強く見せかけているようです。,badarzewska4226,若い男性が、細く高い声で、やや高圧的な口調で得意気に喋っている。,mozart2159,,,,,,
0283,若い男性が、少し早口で高い声で誰かに話している。,wagner8889,,,,,,,,
0284,若い女性が少し怒り気味の口調で文句を言っている。,dvorak2114,,,,,,,,
0285,10代の少年が、爽やかな声で、誰かに悩むを相談するように喋っている。,mozart6768,,,,,,,,
0286,若い男性が明るくはっきりした声で元気にしゃべっている。,puccini9859,,,,,,,,
0288,30代くらいの女性が、年齢相応の落ち着いた低くも高くもない声で、少し感情的に話している。,beethoven3227,,,,,,,,
0289,女性がとても演技がかった口調でやや怒った感じで喋っている。,beethoven6994,,,,,,,,
0290,TVアニメで若手声優さんが高校球児を若々しく演じている。,handel5306,,,,,,,,
0292,20代の女性が、はきはきと高めの声で相手が聞こえやすいように話している。,wagner0071,,,,,,,,
0293,幼稚園から小学校低学年くらいの男性が、幼く甲高い声で、独り言をとりとめなく喋っている。,strauss2291,,,,,,,,
0294,60代ぐらいの女性が、もごもごとした声で、ききとれない言葉で喋っている。,handel0556,,,,,,,,
0296,声が太い中年の男性が、落ち着かない様子で興奮して話している。,shostakovich8062,,,,,,,,
0317,若い男性が落ち着いた感じの声で少し早口でしゃべっている。,shostakovich2991,,,,,,,,
0318,40代の男性が低い声で大らかに喋っている。,shostakovich2466,,,,,,,,
0319,20代の女性が、高い声で、機嫌が悪そうに喋っている。,sibelius5028,,,,,,,,
0320,20代の女性が、高い声で、早口で慌てた感じの強い口調で喋っている。,brahms1342,,,,,,,,
0321,若くて明るい女性が、高い声で、納得できない感じで喋っていた。,bach9259,,,,,,,,
0322,10代～20代くらいの女性が、はきはきと高い声で、早口でおびえているように喋っている。,rossini5825,,,,,,,,
0323,20代くらいの女性が、非常に甲高い声で、早口で少し泣きそうになりながら喋っている。,strauss2291,,,,,,,,
0324,20代女性が、高い声で、怒ったように喋っている。,schumann0884,,,,,,,,
0325,40代ぐらいの男性の声で、普通のトーンの声で、先生か教授が講義しているような喋り方です。,mendelsohn7968,,,,,,,,
0326,中年くらいの男性が、低く落ち着いた声で、ゆっくりと相手に答えるように喋っている。,debussy5543,,,,,,,,
0327,中年の男性がゆっくりと諭すように話している。,paganini8173,50代くらいの男性がゆっくりとハキハキした様子で話している。,strauss9433,,,,,,
0329,20代の声優さんが、はっきりした声で会話している。,haydn4893,,,,,,,,
0330,甲高いアニメ声の若い女性が、はっきりと早口で話している。,brahms0676,,,,,,,,
0331,若い女性の声。アイドルっぽい話し方。若い。マネージャーから来た文章では〜と言っていた。,bach3485,,,,,,,,
0332,20代くらいの女性が甲高く鼻声で早いテンポで話している。,schumann6366,,,,,,,,
0333,10～20代の女性で、アニメ声のような明るくて幼い感じのトーンで、早口で喋っている。,mahler3888,,,,,,,,
0334,20代女性が、高い声で、早口で喋っている。,schumann0884,,,,,,,,
0335,若い女性がはきはきした声で早い口調でしゃべっている。,puccini9859,,,,,,,,
0336,若い女性が、落ち着いた声で、朗読しているように喋っている。,mozart7486,10代女性が落ち着いた声でゆっくりと説明をしている。,saint-saens4172,,,,,,
0337,若い女性が、落ち着いた声で、呆れるように喋っている。,vivaldi3856,,,,,,,,
0339,女性の声で、アニメに出てくるセリフの様な感じです。,beethoven8224,,,,,,,,
0340,20代男性の声で、会話というよりよりもひとりで話しているイメージ。,schubert7036,,,,,,,,
0341,30代以上の男性が、聞き取りやすい声で、洋画の日本語吹き替え版のようなダンディーさで喋っている。,ravel3624,,,,,,,,
0342,若い男性が、低い声で、かなりくだけた喋り方をしている。,sibelius8792,,,,,,,,
0343,若い女性が、暗い声で、落ち込んでいるように喋っている。,debussy5257,,,,,,,,
0344,吐息混じりの優しそうな女性の声で、相手に問いかけるように話している。,haydn3911,,,,,,,,
0345,アニメ声の若い女性が、覚悟したような話し方で話している。,rossini9139,,,,,,,,
0346,若い男性がいい声で、呆れながら励ますように喋っている。,puccini0710,,,,,,,,
0347,男性が、低い声で、相手の考えを疑うかのように話している。,bizet3058,,,,,,,,
0348,大人しい少女が、低い囁き声で、少し驚いたように喋っている。,strauss7406,,,,,,,,
0349,若い男性が、よく通る威勢のいい声で、説明するように喋っている。,vivaldi1568,,,,,,,,
0350,30代後半位の男性が若干怒り気味に。少し早口で喋っている。,mahler7991,,,,,,,,
0351,20歳代後半の真面目な男性が、厳しめで冷たい声で、 相手を責めるように喋っている。,schubert5430,,,,,,,,
0352,30代男性が溜息交じりにやりきれない感じで喋っている。,liszt4153,,,,,,,,
0353,若い男性が、低いトーンの声で、憎しみを込めているかのごとく話している。,tchaikovsky7011,,,,,,,,
0354,男性が知ったような態度で落ち着いた声で語りかける。,rossini1911,,,,,,,,
0355,10代から20代の女性が、少しいらいらした感じで相手に話している。,monteverdi0284,,,,,,,,
0356,20台後半くらいの男性が、少し不機嫌そうな、呆れたような声で誰かに言い聞かすように話している。,wagner9040,,,,,,,,
0357,イケボイスの30代くらいの男性が、優しい口調で說明するように喋っている。,paganini3912,,,,,,,,
0358,低い声の男性が、ゆっくり、はっきりと喋っている。,rachmaninov5320,,,,,,,,
0359,成人男性がアニメ声優のような爽やかな声でハキハキと話している。,badarzewska1916,,,,,,,,
0360,30～40歳代と思われる男性が、ものすごく低音域の声で、一語一語をゆっくり丁寧に喋っている。,dvorak5139,,,,,,,,
0361,20代の男性が、はきはきとした声で、少し怒ったように喋っている。,bach9730,,,,,,,,
0362,若い女性がはきはきした声で自身に問いかけるように喋っている。,chopin2355,,,,,,,,
0363,若い女性が、少し低い声で、静かにちょっと怖がらせるように喋っている。,liszt7210,,,,,,,,
0364,30代男性が、低い声で、冷たく諭すように喋っている。,badarzewska0441,30代男性が、低い声で断言するように話している。,bizet7541,,,,,,
0365,20代から30代くらいの男性、少し話し方に抑揚が無く淡々とした印象。一言目二言目はやや強気に聞こえるが最後少ししょんぼりしているように聞こえる。,mozart2863,,,,,,,,
0366,若い女性がエコーのかかったやや暗い声で驚きがっかりしたような口調で話している。,mahler1404,,,,,,,,
0367,若い女性が、高い声で、やや砕けた雰囲気を出しながら話している。,tchaikovsky6606,,,,,,,,
0368,20代の女性が物静かに、しかしきっぱりした口調でしゃべっている。,badarzewska1530,,,,,,,,
0369,20代ぐらいの若い男性が、ちょっと高めの声で疲れた感じで喋っている。,mozart2879,,,,,,,,
0370,少女が、少し暗めの声で、ちょっと舌足らずな喋り方をしている。,verdi9766,,,,,,,,
0371,20代の女性がひそひそと耳元で話かけている。,verdi8193,,,,,,,,
0372,若い女性が、囁くような声で、相手に問いかけるように喋っている。,handel5926,,,,,,,,
0373,若い女性が、囁くような声で、ゆっくりと語りかけるように話している。,mendelsohn7808,,,,,,,,
0374,声の太い若い男性が、少し怒気を込めて、演じるように話している。,shostakovich8062,,,,,,,,
0375,若い男性が、はきはきした声で驚いた感じで相手に話している。,monteverdi0967,,,,,,,,
0388,20代後半の男性が生徒に教えるような感じで講義している。,elger9149,,,,,,,,
0389,20代くらいの、標準的な声色で少しやる気のなさそうな女性が、声色にしては幼いしゃべりかたで、何かの名前を宣言するようにしゃべっている。,sibelius9498,,,,,,,,
0390,高齢の男性が、干からびた感じのしゃがれた声で、楽しそうに喋っている。,brahms1342,,,,,,,,
0391,20代くらいの若い男性が、大きくて高めの声で、興奮気味のテンションで喋っている。,schumann1397,,,,,,,,
0392,30、40代ぐらいの男性が、落ち着いた声で、ゆっくり話をしている。,dvorak5832,,,,,,,,
0393,中高年のバリトンボイスが映える男性が、饒舌に分かりやすく、セリフを読んで喋っている。,puccini0384,,,,,,,,
