id,gender_1,pitch_1,speaking_rate_1,others_1,annotator_1,gender_2,pitch_2,speaking_rate_2,others_2,annotator_2,gender_3,pitch_3,speaking_rate_3,others_3,annotator_3,gender_4,pitch_4,speaking_rate_4,others_4,annotator_4,gender_5,pitch_5,speaking_rate_5,others_5,annotator_5
0079,女性,落とした声,,"若め, 抑揚を落とし気味, 軽く警告する",vivaldi2440,,,,,,,,,,,,,,,,,,,,
0080,女性,普通,ゆっくりとはっきり,30代ぐらい,handel9658,,,,,,,,,,,,,,,,,,,,
0081,女性,少し低め,,"20代後半, 真剣な喋り方",badarzewska5055,,,,,,,,,,,,,,,,,,,,
0082,女性,かすれた,,若い,brahms5639,,,,,,,,,,,,,,,,,,,,
0083,女性,澄んだ,,"30代位, アナウンサーのような, セリフを読み上げている",puccini0890,,,,,,,,,,,,,,,,,,,,
0084,女性,掠れた,,"30代, 囁くように",bizet8820,,,,,,,,,,,,,,,,,,,,
0085,女性,,淡々と,"20～30歳代, 感情を込めずに, はきはき",mendelsohn3572,,,,,,,,,,,,,,,,,,,,
0086,女性,,,"落ち着いた, 事実を淡々と",saint-saens4971,,,,,,,,,,,,,,,,,,,,
0087,男性,しっかりした,,"40代, 説明文読み上げ",mozart5196,,,,,,,,,,,,,,,,,,,,
0088,女性,高い,,"20代, 嬉しそう, ねっとり",paganini1748,,,,,,,,,,,,,,,,,,,,
0089,女性,女性の平均値くらいの高さ,ゆっくり,"20から30くらいの女性, 色気を出そうとした",elger7925,,,,,,,,,,,,,,,,,,,,
0090,女性,,,"10代後半, 紅葉, 共感を求めている",elger9149,,,,,,,,,,,,,,,,,,,,
0092,男性,,少し早口,"中年, 興奮",elger3773,,,,,,,,,,,,,,,,,,,,
0093,男性,,,"中年, ボソボソとした",badarzewska6473,,,,,,,,,,,,,,,,,,,,
0094,男性,,,"50代くらい, 抑揚をつけて, かすれて",schumann6366,,,,,,,,,,,,,,,,,,,,
0095,男性,高い,,"30代, 楽しそう",badarzewska7662,,,,,,,,,,,,,,,,,,,,
0096,男性,低い,,"40代より上、男らしさと明るさを兼ねた声色, 皮肉っぽくひとりごとをしゃべっている",sibelius9498,,,,,,,,,,,,,,,,,,,,
0097,男性,はきはきした,,"中年, 怖い, 挑発するように",wagner8651,,,,,,,,,,,,,,,,,,,,
0098,男性,,,"30代, 怒り, 絞り出すような",puccini2441,,,,,,,,,,,,,,,,,,,,
0099,男性,,ゆっくり,"60代, 怒り",beethoven7876,,,,,,,,,,,,,,,,,,,,
0100,女性,,,"20代ぐらい, 気怠い口調, 甘やかす",bach6393,,,,,,,,,,,,,,,,,,,,
0101,,,,相手に安心させる意図がある,verdi8774,,,,,,,,,,,,,,,,,,,,
0102,女性,低い,ゆっくりとした,30代,puccini6744,,,,,,,,,,,,,,,,,,,,
0114,男性,元気な,聞き取りやすい,10代,verdi8193,,,,,,,,,,,,,,,,,,,,
0115,男性,高い,ゆっくり,"若い, 独り言のように",mozart6648,,,,,,,,,,,,,,,,,,,,
0120,男性,高い,,"若い, 元気な声, 司会のようなこと",monteverdi2902,,,,,,,,,,,,,,,,,,,,
0121,男性,高め,,"若い, 元気",handel2193,,,,,,,,,,,,,,,,,,,,
0122,男性,高い,早口,訛り,bruchner4287,,,,,,,,,,,,,,,,,,,,
0123,女性,高い,,"若い, 少し興奮して, 怖がっている感じ",puccini5500,,,,,,,,,,,,,,,,,,,,
0124,男性,,,"若い, はきはきした, 本を読むように",chopin8030,,,,,,,,,,,,,,,,,,,,
0125,男性,,ゆっくり目,"20代, すこしだるそうな",ravel3624,,,,,,,,,,,,,,,,,,,,
0126,男性,,,"20代後半から30代, 明るめ, 落ち着いた",badarzewska9358,,,,,,,,,,,,,,,,,,,,
0127,,,,"童話を読み上げているかのような口調, 優しく, 丁寧な",bizet5324,,,,,,,,,,,,,,,,,,,,
0128,男性,低い,ゆっくり,20代から30代,chopin3729,,,,,,,,,,,,,,,,,,,,
0129,男性,,聞き取りやすい,"40歳くらい, アナウンサー, ニュースを読んでいる",saint-saens2177,,,,,,,,,,,,,,,,,,,,
0130,男性,高くも低くもない,,"やや若い, 優しい口調",tchaikovsky1731,,,,,,,,,,,,,,,,,,,,
0131,男性,,,りんとした,vivaldi8335,,,,,,,,,,,,,,,,,,,,
0132,男性,高い,少し遅い,"30代, 鼻声, たどたどしい感じ",badarzewska1538,,,,,,,,,,,,,,,,,,,,
0133,男性,低い,ゆっくりとはっきりと,,saint-saens0730,,,,,,,,,,,,,,,,,,,,
0134,男性,急速な,淡々と,比較的若い,monteverdi2320,,,,,,,,,,,,,,,,,,,,
0135,男性,,ゆっくり,"20代ぐらい, おっとり",dvorak2098,,,,,,,,,,,,,,,,,,,,
0136,男性,押し殺したような低い,,20歳代,schumann2777,,,,,,,,,,,,,,,,,,,,
0137,男性,,ゆっくり,"中年, 暗い, 誰かに語り掛けるように",bizet6993,,,,,,,,,,,,,,,,,,,,
0138,男性,低い,ゆったりと,若い,schumann0854,,,,,,,,,,,,,,,,,,,,
0139,男性,落ち着いた,ゆっくりと,"20代くらい, 癒しのある",shostakovich6875,,,,,,,,,,,,,,,,,,,,
0140,男性,落ち着いた,とうとうと,"若い, 本を読むように",rossini6436,,,,,,,,,,,,,,,,,,,,
0141,男性,,ゆっくりとした,成人,rachmaninov6780,,,,,,,,,,,,,,,,,,,,
0142,男性,低い声優さんのような声,朗読,30代くらい,schubert9911,,,,,,,,,,,,,,,,,,,,
0143,男性,"低め, クセのある",ゆっくり,"中年, 途切れてる",wagner1081,,,,,,,,,,,,,,,,,,,,
0144,男性,若い、ざらつかせた,,"20代から30代, 老人の真似, お話の役演じる",rossini3286,,,,,,,,,,,,,,,,,,,,
0145,男性,低い,,"中年, 抑揚のない",shostakovich1640,,,,,,,,,,,,,,,,,,,,
0146,男性,低い,,"若い, 優しい",paganini1355,,,,,,,,,,,,,,,,,,,,
0147,男性,,ゆっくりと,"若い, こもった",badarzewska6328,男性,,,"10代, 活舌悪い",elger1279,男性,低い,,"若い, 弱々しい",tchaikovsky2047,,,,,,,,,,
0148,男性,,,諭すような,brahms9307,,,,,,,,,,,,,,,,,,,,
0149,男性,,ゆっくり,"若い, 寒い地方の口の開き方, もったりとした",schubert7808,,,,,,,,,,,,,,,,,,,,
0150,男性,,ゆっくりめ,20代後半,handel8971,,,,,,,,,,,,,,,,,,,,
0151,男性,低い,,"中年, がっかりした感じ",sibelius8476,,,,,,,,,,,,,,,,,,,,
0152,男性,,少し遅め,"30代くらい, 鼻に掛かった",strauss3428,,,,,,,,,,,,,,,,,,,,
0153,男性,低め,,"20代, 物語を棒読みで読む",mahler5905,,,,,,,,,,,,,,,,,,,,
0154,男性,低い,ゆっくり,"壮年, 女性のような口調",schubert1343,,,,,,,,,,,,,,,,,,,,
0155,男性,,,"若い, 落ち着いている, はっきりした",liszt5697,,,,,,,,,,,,,,,,,,,,
0156,男性,やや低め,ゆっくり,"30代くらい, 若め, 静かに語りかけるように",mahler8721,男性,低い,ゆっくり,"30歳くらい, 丁寧",saint-saens2309,,,,,,,,,,,,,,,
0157,男性,,,"20代, 童話『白雪姫』, 鏡に話しかけ",elger7072,男性,,,"若い, 暗い, 呟くように",paganini0062,,,,,,,,,,,,,,,
0158,男性,,,"30代, 落ち着いている, 中性的な",rossini6692,,,,,,,,,,,,,,,,,,,,
0159,男性,低い,,"30代, 怒気を含んだ感じ",vivaldi8730,,,,,,,,,,,,,,,,,,,,
0160,男性,落ち着いた,,"40代, 演じるよう",verdi6880,,,,,,,,,,,,,,,,,,,,
0161,男性,,ゆっくりゆったり,若い,vivaldi2420,,,,,,,,,,,,,,,,,,,,
0162,男性,少し高い,ゆっくり,"若い, 機械音のような",elger1917,,,,,,,,,,,,,,,,,,,,
0163,男性,,ゆっくり,"30代くらい, 諭すように",bruchner5215,,,,,,,,,,,,,,,,,,,,
0164,男性,,ゆっくりと,若い,haydn7435,,,,,,,,,,,,,,,,,,,,
0165,男性,,ゆっくり,"30代, ぼそぼそ",bizet4889,,,,,,,,,,,,,,,,,,,,
0166,男性,,,"20代, 諦めた, 情けなさそう",schubert9827,,,,,,,,,,,,,,,,,,,,
0167,男性,低い,ゆっくり,"若い, 優しく",monteverdi3509,,,,,,,,,,,,,,,,,,,,
0168,男性,,,"外部で実況中継をしている, 性能の良くない機材で",badarzewska1209,,,,,,,,,,,,,,,,,,,,
0169,男性,落ち着いた,,"中年, きちんとした, 優しく, 丁寧に教えるよう",rachmaninov9590,,,,,,,,,,,,,,,,,,,,
0170,男性,,,中年,brahms9590,,,,,,,,,,,,,,,,,,,,
0171,おじさん,,,"中肉中背, やわらかい",paganini5884,,,,,,,,,,,,,,,,,,,,
0172,若い男性,,,鼻声,haydn3036,,,,,,,,,,,,,,,,,,,,
0173,男性,,,"若い, 少し鼻に掛かった",beethoven7666,,,,,,,,,,,,,,,,,,,,
0174,男性,,はきはきした,"若い, 明るい, 語りかけるように",brahms0012,,,,,,,,,,,,,,,,,,,,
0175,男性,落ち着いた,ゆっくりと合間を挟みながら,"若い, 読み聞かせをするかのように",ravel2079,,,,,,,,,,,,,,,,,,,,
0176,男性,優しそうな声,のんびりとした,若い,rossini3112,,,,,,,,,,,,,,,,,,,,
0177,男性,低い,,"若い, 悲しげ",puccini4935,,,,,,,,,,,,,,,,,,,,
0178,男性,やや高い,ゆっくり,若い,schumann4758,,,,,,,,,,,,,,,,,,,,
0179,男性,はきはきした,,"若い, 本を読むかのように話している",bach8815,,,,,,,,,,,,,,,,,,,,
0180,男性,低い,,"若い, 演劇の台詞を読み上げるよう",saint-saens5868,,,,,,,,,,,,,,,,,,,,
0181,男性,はっきりとした,,"中年, 真面目, 言い聞かせている",rossini6327,,,,,,,,,,,,,,,,,,,,
0182,男性,暗い,ゆっくりした,若い,grieg8093,,,,,,,,,,,,,,,,,,,,
0183,男性,,ゆっくりとした,30代位,mozart4865,,,,,,,,,,,,,,,,,,,,
0184,男性,,ゆったり,優しそう,verdi6534,,,,,,,,,,,,,,,,,,,,
0185,男性,落ち着いた,,"三十代, 安心させるように",sibelius3455,,,,,,,,,,,,,,,,,,,,
0186,青年,,,"朗読, 自身なさげ",mendelsohn6606,,,,,,,,,,,,,,,,,,,,
0187,男性,静かな,,"30代, 落ち着いた, 優しく語り掛けるように",mozart6171,,,,,,,,,,,,,,,,,,,,
0188,男性,低い,,"20歳代, 鼻にかけるように",tchaikovsky1057,,,,,,,,,,,,,,,,,,,,
0189,,低い,,"鼻の詰まった様な声, 注意事項を読みあげている",dvorak2114,,,,,,,,,,,,,,,,,,,,
0190,男性,低い,ゆっくりと、わざと間を開けて,30代,badarzewska7074,,,,,,,,,,,,,,,,,,,,
0191,男性,低い,,"20代から30代, 何かを説明している",chopin3729,,,,,,,,,,,,,,,,,,,,
0192,男性,低め,ゆっくり,"壮年相当, 落ち着き促す",vivaldi2440,,,,,,,,,,,,,,,,,,,,
0193,男性,落ち着いた,淡々とした,"若い, 指示",verdi6449,,,,,,,,,,,,,,,,,,,,
0194,男性,,ゆっくりと,"優しい, 甘い",monteverdi1379,,,,,,,,,,,,,,,,,,,,
0195,男性,落ち着いた,,中年,puccini1388,,,,,,,,,,,,,,,,,,,,
0196,男性,はっきりした,普通よゆっくり,30代,debussy1151,,,,,,,,,,,,,,,,,,,,
0197,男性,細く柔らかい,,"成人, しっかり言い聞かせる",haydn1359,,,,,,,,,,,,,,,,,,,,
0198,男性,少し低い,ゆっくりとした,"20代ぐらいの, 何かを始める",ravel8663,,,,,,,,,,,,,,,,,,,,
0199,男性,低い,ゆっくり,"若い, 暗示をかけるように話している",liszt8856,,,,,,,,,,,,,,,,,,,,
0200,男性,,ゆっくりとした,"中年, 穏やか",badarzewska1696,,,,,,,,,,,,,,,,,,,,
0201,男性,穏やかな,ゆったりと,若い,paganini4090,,,,,,,,,,,,,,,,,,,,
0202,男性,穏やかな,,"丁寧な口調, 指示を行っている",mahler1054,,,,,,,,,,,,,,,,,,,,
0203,男性,低い,ゆっくり,"若い, 教え導く様",mendelsohn3572,,,,,,,,,,,,,,,,,,,,
0204,男性,,ゆっくり,"成人, 病院, 患者さん, 丁寧な口調",rachmaninov6780,,,,,,,,,,,,,,,,,,,,
0205,男性,おっとりとした,ゆっくり,"30代くらい, 優しい",beethoven4053,,,,,,,,,,,,,,,,,,,,
0206,男性,,ゆっくりと,"指導者, 丁寧な口調, 運動のやり方",saint-saens4971,,,,,,,,,,,,,,,,,,,,
0207,男性,低い,ゆっくり,"20代ぐらい, 優しく",dvorak5832,,,,,,,,,,,,,,,,,,,,
0208,男性,低い,,"20代位, 劇中のナレーション",puccini0890,,,,,,,,,,,,,,,,,,,,
0209,男性,落ち着いた,,"30代, 当時の状況を説明",schubert2624,,,,,,,,,,,,,,,,,,,,
0210,男性,少し低い,ゆっくり,若い,dvorak0253,,,,,,,,,,,,,,,,,,,,
0211,男性,低い,ゆっくり,"若い, 穏やか, 優しい, 静か",mahler8143,,,,,,,,,,,,,,,,,,,,
0212,男性,,ゆっくりとした,"30代, 落ち着いて, 気持ちよさそう",vivaldi4325,,,,,,,,,,,,,,,,,,,,
0213,男性,低い,,"20代後半から30代, おっとり, 説明",wagner0071,,,,,,,,,,,,,,,,,,,,
0214,男性,細く、低い,,朴訥,bach3864,,,,,,,,,,,,,,,,,,,,
0215,男性,鼻声,ゆっくりとした,"20代くらい, 朗読するような口調",debussy2757,,,,,,,,,,,,,,,,,,,,
0216,男性,低い、重い,ゆっくりと,中年,mahler1404,,,,,,,,,,,,,,,,,,,,
0217,男性,低い,ゆっくり,"20代くらい, 穏やか",rossini5372,,,,,,,,,,,,,,,,,,,,
0218,,落ち着いた,,"若い, 青年, 語りかけるように",chopin5215,,,,,,,,,,,,,,,,,,,,
0219,男性,,,"若い, 機械で作られた, 発声に違和感を感じる",sibelius2210,,,,,,,,,,,,,,,,,,,,
0220,若い男性,,非常に落ち着いた,指示するように,chopin8316,,,,,,,,,,,,,,,,,,,,
0221,男性,,ゆっくりとした,優しい感じ,verdi6021,,,,,,,,,,,,,,,,,,,,
0222,男性,,ゆっくりした,"60代, 諭すように話している",bach8066,,,,,,,,,,,,,,,,,,,,
0223,男性,低い,ゆっくり丁寧に,中年,handel9267,,,,,,,,,,,,,,,,,,,,
0224,女性,高い,速い,"若く, 明るい, はきはき, 聞いている人たちに分かりやすく確認する",dvorak0226,,,,,,,,,,,,,,,,,,,,
0225,女性,ささやくような,ゆっくりと,10代後半,beethoven4967,,,,,,,,,,,,,,,,,,,,
0242,女性,響きのある,はきはき,若い,haydn4494,,,,,,,,,,,,,,,,,,,,
0243,女性,張り上げる,,若い,mahler1339,,,,,,,,,,,,,,,,,,,,
0244,女性,高い,,"若い, 自慢",bruchner8760,,,,,,,,,,,,,,,,,,,,
0245,男性,張り上げて,,"20代, 怒っている感じ",liszt9268,,,,,,,,,,,,,,,,,,,,
0247,,やや高い,,"声変わり前の少年, ぼやくように",wagner7420,,,,,,,,,,,,,,,,,,,,
0248,女性,少しアニメ声,,"40代くらい, 怒りながら諭すよう",rachmaninov3617,,,,,,,,,,,,,,,,,,,,
0249,女性,若干高め,,"困った感じ, 説得",schumann0679,,,,,,,,,,,,,,,,,,,,
0250,女性,甘めの,,"誰かに頼まれたような, 相手を説得させる",debussy9426,,,,,,,,,,,,,,,,,,,,
0251,女性,高い,,"20代, アニメの母親役, 明るく, 頼むように",badarzewska7654,女性,高い,はきはきした,"20代, 元気",monteverdi0410,,,,,,,,,,,,,,,
0253,女性,高い,はきはき,"若い, 驚いたような口調",saint-saens4837,,,,,,,,,,,,,,,,,,,,
0254,女性,少年のような声,,"若い, 希望に満ちた",bizet6872,女性,高い,はきはき,"10～20代, 明るい, アニメの声優さんのような",bizet7762,,,,,,,,,,,,,,,
0255,女性,,,"若い, 感情を込めて, 訴える",beethoven9507,女性,抑揚をつけて,はきはきと,20代,haydn7147,,,,,,,,,,,,,,,
0256,女性,,急いでいる,若い,bach8042,,,,"若くて明るい, 問いかけるように, はっきりとした",saint-saens8273,,,,,,,,,,,,,,,
0258,女性,,,"若い, 様子を伺っている, 心配している",shostakovich0800,,,,,,,,,,,,,,,,,,,,
0259,女性,高い,,"若い, いひょうをつかれた受け答え",bizet3688,,,,,,,,,,,,,,,,,,,,
0260,,少年のような,,セリフを言うように,bruchner1820,,,,,,,,,,,,,,,,,,,,
0261,女性,,,"若い, 困ったような",chopin2425,,,,,,,,,,,,,,,,,,,,
0262,,,,"元気, 明るい, 感情をそのまま",debussy0892,,,,,,,,,,,,,,,,,,,,
0263,女性,子供を真似るような声,,"若い, 自慢げ",bruchner8758,女性,高い,高い,"明るく, 若い, ハキハキ, 勢いよく",verdi2492,,,,,,,,,,,,,,,
0264,女性,大きな,,"若い, あせっている",bach5073,,,,,,,,,,,,,,,,,,,,
0265,男性,威勢のいい,,50代位,sibelius8112,,,,,,,,,,,,,,,,,,,,
0266,男性,甲高いしゃがれた声,,"若い, 気持ちを込めるように話している",wagner3277,,,,,,,,,,,,,,,,,,,,
0268,女性,,早口,"10代, はきはき",grieg7193,,,,,,,,,,,,,,,,,,,,
0269,女性,高い,非常に早口,"若い, アニメのような声",strauss9438,,,,,,,,,,,,,,,,,,,,
0270,女性,高めの,早口で,"アニメ声, 少しコミカルな様子, てきぱき",liszt4517,,,,,,,,,,,,,,,,,,,,
0271,女性,高い,はきはき,"10代, 戸惑ったようす",monteverdi5706,,,,,,,,,,,,,,,,,,,,
0272,女性,,はきはきした,若い,bach1081,,,,,,,,,,,,,,,,,,,,
0273,女性,"少年のような声, 女性",はきはきとした,驚いたように,debussy3111,,大きな,はきはき,"少年, 問い詰めるように",paganini4188,,,,,,,,,,,,,,,
0274,女性,高い,早口,"20代, まくし立てるように",badarzewska7074,,,,,,,,,,,,,,,,,,,,
0275,女性,高い,はきはき,"若い, 楽しそう",shostakovich4040,,,,,,,,,,,,,,,,,,,,
0277,,やや甲高い,,"聞き取りにくい声, 聞き取れないことはない喋り方",rachmaninov5676,,,,,,,,,,,,,,,,,,,,
0278,女性,高い,ゆっくりめ,"10代, 抑揚, はっきり",beethoven7434,,,,,,,,,,,,,,,,,,,,
0281,女性,はっきりとした,,"若い, 訴えかけるように",haydn1093,,,,,,,,,,,,,,,,,,,,
0282,男性,,,"20代ぐらい, 大人しそう, 頑張って強く見せかけている",badarzewska4226,男性,高い,,"若い, やや高圧的, 得意気",mozart2159,,,,,,,,,,,,,,,
0283,男性,高い,少し早口,若い,wagner8889,,,,,,,,,,,,,,,,,,,,
0284,女性,,,"若い, 怒り気味",dvorak2114,,,,,,,,,,,,,,,,,,,,
0285,男性,爽やかな,,"10代, 相談",mozart6768,,,,,,,,,,,,,,,,,,,,
0286,男性,明るくはっきりした,,"若い, 元気",puccini9859,,,,,,,,,,,,,,,,,,,,
0288,女性,落ち着いた低くも高くもない,,"30代, 少し感情的",beethoven3227,,,,,,,,,,,,,,,,,,,,
0289,女性,,,"演技がかった口調, やや怒った感じ",beethoven6994,,,,,,,,,,,,,,,,,,,,
0290,,高い,,"若手声優さん, 高校球児, 若々しい演技",handel5306,,,,,,,,,,,,,,,,,,,,
0292,女性,高め,はきはき,"20代, 相手が聞こえやすいように話す",wagner0071,,,,,,,,,,,,,,,,,,,,
0293,男性,幼く甲高い,,幼稚園から小学校低学年くらい,strauss2291,,,,,,,,,,,,,,,,,,,,
0294,女性,もごもごとした声で、ききとれない言葉で,,60代ぐらい,handel0556,,,,,,,,,,,,,,,,,,,,
0296,男性,太い,,"中年, 興奮",shostakovich8062,,,,,,,,,,,,,,,,,,,,
0317,男性,落ち着いた,少し早口,若い,shostakovich2991,,,,,,,,,,,,,,,,,,,,
0318,男性,低い,大らか,40代,shostakovich2466,,,,,,,,,,,,,,,,,,,,
0319,女性,高い,,"20代, 機嫌が悪そう",sibelius5028,,,,,,,,,,,,,,,,,,,,
0320,女性,高い,早口,"20代, 慌てた感じの強い口調",brahms1342,,,,,,,,,,,,,,,,,,,,
0321,女性,高い,,"若くて明るい, 納得できない感じ",bach9259,,,,,,,,,,,,,,,,,,,,
0322,女性,高い,早口,"10代～20代, おびえている",rossini5825,,,,,,,,,,,,,,,,,,,,
0323,女性,非常に甲高い,早口,"20代, 少し泣きそうになっている",strauss2291,,,,,,,,,,,,,,,,,,,,
0324,女性,高い,,"20代, 怒ったように",schumann0884,,,,,,,,,,,,,,,,,,,,
0325,男性,普通のトーン,,"40代, 先生か教授のような喋り方",mendelsohn7968,,,,,,,,,,,,,,,,,,,,
0326,男性,低い,ゆっくり,"中年くらい, 落ち着いた, 答えるように",debussy5543,,,,,,,,,,,,,,,,,,,,
0327,男性,,ゆっくりと,"中年, 諭すように",paganini8173,男性,,ゆっくり,50代,strauss9433,,,,,,,,,,,,,,,
0329,,はっきりした,,"20代, 声優さん",haydn4893,,,,,,,,,,,,,,,,,,,,
0330,女性,甲高い,早口,若い,brahms0676,,,,,,,,,,,,,,,,,,,,
0331,女性,高い,,"若い, アイドルっぽい, マネージャーから来た文章では〜と言っていた",bach3485,,,,,,,,,,,,,,,,,,,,
0332,女性,甲高い,早い,"20代, 鼻声",schumann6366,,,,,,,,,,,,,,,,,,,,
0333,女性,明るくて幼い,早口,"10～20代, アニメ声のような感じ",mahler3888,,,,,,,,,,,,,,,,,,,,
0334,女性,高い,早口,20代,schumann0884,,,,,,,,,,,,,,,,,,,,
0335,女性,高い,早い,"若い, はきはきした",puccini9859,,,,,,,,,,,,,,,,,,,,
0336,女性,落ち着いた,,"若い, 朗読しているように",mozart7486,女性,落ち着いた,ゆっくり,"10代, 説明",saint-saens4172,,,,,,,,,,,,,,,
0337,女性,落ち着いた,,"若い, 呆れるように",vivaldi3856,,,,,,,,,,,,,,,,,,,,
0339,女性,高い,,アニメのセリフのような感じ,beethoven8224,,,,,,,,,,,,,,,,,,,,
0340,男性,,,"20代, ひとりで話している",schubert7036,,,,,,,,,,,,,,,,,,,,
0341,男性,聞き取りやすい,,"30代以上, ダンディーさ, 洋画の日本語吹き替え版のような",ravel3624,,,,,,,,,,,,,,,,,,,,
0342,男性,低い,,"若い, かなりくだけた喋り方",sibelius8792,,,,,,,,,,,,,,,,,,,,
0343,女性,暗い,,"若い, 落ち込んでいる",debussy5257,,,,,,,,,,,,,,,,,,,,
0344,女性,優しい,,吐息混じり,haydn3911,,,,,,,,,,,,,,,,,,,,
0345,女性,高い,,"若い, 覚悟したような話し方",rossini9139,,,,,,,,,,,,,,,,,,,,
0346,男性,いい声,,"若い, 呆れる, 励ます",puccini0710,,,,,,,,,,,,,,,,,,,,
0347,男性,低い,,相手の考えを疑うかのように,bizet3058,,,,,,,,,,,,,,,,,,,,
0348,女性,低い,,"大人しい, 少女, 少し驚いた",strauss7406,,,,,,,,,,,,,,,,,,,,
0349,男性,よく通る、威勢のいい,,若い、説明するように,vivaldi1568,,,,,,,,,,,,,,,,,,,,
0350,男性,,少し早口,"30代後半位, 怒り気味",mahler7991,,,,,,,,,,,,,,,,,,,,
0351,男性,冷たい,,"20歳代後半, 真面目, 責める",schubert5430,,,,,,,,,,,,,,,,,,,,
0352,男性,,,"30代, 溜息交じり, やりきれない感じ",liszt4153,,,,,,,,,,,,,,,,,,,,
0353,男性,低い,,"若い, 憎しみ",tchaikovsky7011,,,,,,,,,,,,,,,,,,,,
